sample_name,library_index,read_in_pair,path
JustinHN_3271_Norm_PBL,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_3271_Norm_PBL/HNC_3271_Norm_PBL_R2.fastq.gz
JustinHN_3516_Norm_PBL,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_3516_Norm_PBL/HNC_3516_Norm_PBL_R1.fastq.gz
JustinHN_3516_Norm_PBL,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_3516_Norm_PBL/HNC_3516_Norm_PBL_R2.fastq.gz
JustinHN_3598_Norm_PBL,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_3598_Norm_PBL/HNC_3598_Norm_PBL_R1.fastq.gz
JustinHN_3598_Norm_PBL,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_3598_Norm_PBL/HNC_3598_Norm_PBL_R2.fastq.gz
JustinHN_3791_Norm_PBL,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_3791_Norm_PBL/HNC_3791_Norm_PBL_R1.fastq.gz
JustinHN_3791_Norm_PBL,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_3791_Norm_PBL/HNC_3791_Norm_PBL_R2.fastq.gz
JustinHN_3859_Norm_PBL,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_3859_Norm_PBL/HNC_3859_Norm_PBL_R1.fastq.gz
JustinHN_3859_Norm_PBL,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_3859_Norm_PBL/HNC_3859_Norm_PBL_R2.fastq.gz
JustinHN_3887_Norm_PBL,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_3859_Norm_PBL/HNC_3859_Norm_PBL_R1.fastq.gz
JustinHN_3887_Norm_PBL,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_3859_Norm_PBL/HNC_3859_Norm_PBL_R2.fastq.gz
JustinHN_3888_Norm_PBL,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_3888_Norm_PBL/HNC_3888_Norm_PBL_R1.fastq.gz
JustinHN_3888_Norm_PBL,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_3888_Norm_PBL/HNC_3888_Norm_PBL_R2.fastq.gz
JustinHN_4147_Norm_PBL,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_4147_Norm_PBL/HNC_4147_Norm_PBL_R1.fastq.gz
JustinHN_4147_Norm_PBL,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_4147_Norm_PBL/HNC_4147_Norm_PBL_R2.fastq.gz
JustinHN_4299_Norm_PBL,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_4299_Norm_PBL/HNC_4299_Norm_PBL_R1.fastq.gz
JustinHN_4299_Norm_PBL,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_4299_Norm_PBL/HNC_4299_Norm_PBL_R2.fastq.gz
JustinHN_4427_Norm_PBL,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_4427_Norm_PBL/HNC_4427_Norm_PBL_R1.fastq.gz
JustinHN_4427_Norm_PBL,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_4427_Norm_PBL/HNC_4427_Norm_PBL_R2.fastq.gz
JustinHN_4518_Norm_PBL,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_4518_Norm_PBL/HNC_4518_Norm_PBL_R1.fastq.gz
JustinHN_4518_Norm_PBL,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_4518_Norm_PBL/HNC_4518_Norm_PBL_R2.fastq.gz
JustinHN_4623_Norm_PBL,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_4623_Norm_PBL/HNC_4623_Norm_PBL_R1.fastq.gz
JustinHN_4623_Norm_PBL,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_4623_Norm_PBL/HNC_4623_Norm_PBL_R2.fastq.gz
JustinHN_0496_Norm_cfDNA,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/0496_BL/0496_BL_R1.fastq.gz
JustinHN_0496_Norm_cfDNA,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/0496_BL/0496_BL_R2.fastq.gz
JustinHN_2161_HN_cfDNA,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/2161_BL/2161_BL_R1.fastq.gz
JustinHN_2161_HN_cfDNA,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/2161_BL/2161_BL_R2.fastq.gz
JustinHN_2187_HN_cfDNA,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/2187_BL/2187_BL_R1.fastq.gz
JustinHN_2187_HN_cfDNA,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/2187_BL/2187_BL_R2.fastq.gz
JustinHN_2212_HN_cfDNA,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/2212_BL/2212_BL_R1.fastq.gz
JustinHN_2212_HN_cfDNA,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/2212_BL/2212_BL_R2.fastq.gz
JustinHN_2238_HN_cfDNA,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/2238_BL/2238_BL_R1.fastq.gz
JustinHN_2238_HN_cfDNA,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/2238_BL/2238_BL_R2.fastq.gz
JustinHN_2263_HN_cfDNA,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/2263_BL/2263_BL_R1.fastq.gz
JustinHN_2263_HN_cfDNA,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/2263_BL/2263_BL_R2.fastq.gz
JustinHN_2267_HN_cfDNA,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/2267_BL/2267_BL_R1.fastq.gz
JustinHN_2267_HN_cfDNA,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/2267_BL/2267_BL_R2.fastq.gz
JustinHN_2276_HN_cfDNA,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/2276_BL/2276_BL_R1.fastq.gz
JustinHN_2276_HN_cfDNA,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/2276_BL/2276_BL_R2.fastq.gz
JustinHN_2291_HN_cfDNA,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/2291_BL/2291_BL_R1.fastq.gz
JustinHN_2291_HN_cfDNA,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/2291_BL/2291_BL_R2.fastq.gz
JustinHN_2298_HN_cfDNA,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/2298_BL/2298_BL_R1.fastq.gz
JustinHN_2298_HN_cfDNA,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/2298_BL/2298_BL_R2.fastq.gz
JustinHN_2300_HN_cfDNA,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/2300_BL/2300_BL_R1.fastq.gz
JustinHN_2300_HN_cfDNA,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/2300_BL/2300_BL_R2.fastq.gz
JustinHN_2308_HN_cfDNA,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/2308_BL/2308_BL_R1.fastq.gz
JustinHN_2308_HN_cfDNA,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/2308_BL/2308_BL_R2.fastq.gz
JustinHN_2319_HN_cfDNA,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/2319_BL/2319_BL_R1.fastq.gz
JustinHN_2319_HN_cfDNA,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/2319_BL/2319_BL_R2.fastq.gz
JustinHN_2328_HN_cfDNA,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/2328_BL/2328_BL_R1.fastq.gz
JustinHN_2328_HN_cfDNA,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/2328_BL/2328_BL_R2.fastq.gz
JustinHN_2332_HN_cfDNA,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/2332_BL/2332_BL_R1.fastq.gz
JustinHN_2332_HN_cfDNA,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/2332_BL/2332_BL_R2.fastq.gz
JustinHN_2339_HN_cfDNA,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/2339_BL/2339_BL_R1.fastq.gz
JustinHN_2339_HN_cfDNA,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/2339_BL/2339_BL_R2.fastq.gz
JustinHN_2353_HN_cfDNA,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/2353_BL/2353_BL_R1.fastq.gz
JustinHN_2353_HN_cfDNA,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/2353_BL/2353_BL_R2.fastq.gz
JustinHN_2378_HN_cfDNA,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/2378_BL/2378_BL_R1.fastq.gz
JustinHN_2378_HN_cfDNA,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/2378_BL/2378_BL_R2.fastq.gz
JustinHN_2399_HN_cfDNA,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/2399_BL/2399_BL_R1.fastq.gz
JustinHN_2399_HN_cfDNA,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/2399_BL/2399_BL_R2.fastq.gz
JustinHN_2410_HN_cfDNA,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/2410_BL/2410_BL_R1.fastq.gz
JustinHN_2410_HN_cfDNA,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/2410_BL/2410_BL_R2.fastq.gz
JustinHN_2412_HN_cfDNA,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/2412_BL/2412_BL_R1.fastq.gz
JustinHN_2412_HN_cfDNA,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/2412_BL/2412_BL_R2.fastq.gz
JustinHN_2421_HN_cfDNA,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/2421_BL/2421_BL_R1.fastq.gz
JustinHN_2421_HN_cfDNA,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/2421_BL/2421_BL_R2.fastq.gz
JustinHN_2422_HN_cfDNA,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/2422_BL/2422_BL_R1.fastq.gz
JustinHN_2422_HN_cfDNA,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/2422_BL/2422_BL_R2.fastq.gz
JustinHN_2423_HN_cfDNA,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/2423_BL/2423_BL_R1.fastq.gz
JustinHN_2423_HN_cfDNA,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/2423_BL/2423_BL_R2.fastq.gz
JustinHN_2447_HN_cfDNA,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/2447_BL/2447_BL_R1.fastq.gz
JustinHN_2447_HN_cfDNA,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/2447_BL/2447_BL_R2.fastq.gz
